E1_P01_X,E1_P01_Y,E1_P02_X,E1_P02_Y,E1_P03_X,E1_P03_Y,E1_P04_X,E1_P04_Y,MEAN_X,MEAN_Y
1.20819157695665E-05,0.392075351397535,1.35969213207111E-05,0.39955103706797,1.372288694145E-05,0.357935296001859,1.04063102492725E-05,0.277860331423646,1.42157272720526E-05,0.407355416966694
1.22841663521243E-05,0.39863867047202,1.37816429851145E-05,0.404979157952134,1.39610699654264E-05,0.36414784526743,1.05929690517388E-05,0.282844333963841,1.46895848477877E-05,0.420933930865584
1.2440967365568E-05,0.403727086383699,1.39663646495179E-05,0.410407278836298,1.42704591414793E-05,0.372217671010567,1.08678725253183E-05,0.290184569690876,1.51634424235228E-05,0.434512444764474
1.26741804670848E-05,0.411295183237844,1.42009366968645E-05,0.417300273402778,1.45403584427999E-05,0.379257478794529,1.1113251759492E-05,0.296736474611905,1.56372999992579E-05,0.448090958663364
1.28440482316488E-05,0.41680763380883,1.43969740923655E-05,0.423060911625873,1.47766758034031E-05,0.385421365794312,1.13369798847679E-05,0.302710270275197,1.6111157574993E-05,0.461669472562254
1.3012211637371E-05,0.42226477551121,1.45948464712876E-05,0.428875471579605,1.50017991837672E-05,0.391293279199368,1.15689091876566E-05,0.308903046717934,1.65850151507281E-05,0.475247986461143
1.32076447845617E-05,0.428606859111274,1.48217727543792E-05,0.435543792268429,1.52570841219978E-05,0.39795189923466,1.18690722882835E-05,0.316917743245664,1.70588727264632E-05,0.488826500360033
1.34016576327176E-05,0.4349028519875,1.50875395198867E-05,0.443353456255745,1.54691478587496E-05,0.403483176779202,1.21144515224571E-05,0.323469648166693,1.75327303021983E-05,0.502405014258923
1.36209518036932E-05,0.442019259748036,1.53144658029783E-05,0.450021776944569,1.56964478463825E-05,0.409411862827677,1.23342430824789E-05,0.32933833305585,1.80065878779333E-05,0.515983528157813
1.38405300344758E-05,0.44914488565334,1.56034756918213E-05,0.458514449519959,1.58842579592829E-05,0.414310530916978,1.25520663598737E-05,0.33515446255794,1.84804454536684E-05,0.529562042056703
1.40041484832866E-05,0.45445453703944,1.58567034039504E-05,0.465955648347919,1.61090703957515E-05,0.420174333944403,1.27469263399527E-05,0.340357445877581,1.89543030294035E-05,0.543140555955592
1.42285557307875E-05,0.461736871405792,1.61218585083175E-05,0.473747338425022,1.63879870700424E-05,0.427449342679673,1.30493857703111E-05,0.348433457023555,1.94281606051386E-05,0.556719069854482
1.43833683255825E-05,0.466760760304098,1.630535685044E-05,0.479139511488761,1.66168417771529E-05,0.433418580616304,1.32462140330173E-05,0.353688995730263,1.99020181808737E-05,0.570297583753372
1.46554976206533E-05,0.475591742991396,1.65142391298896E-05,0.485277601826317,1.68236194676807E-05,0.438811981741114,1.34643653575165E-05,0.359513884463531,2.03758757566088E-05,0.583876097652262
1.48341712392331E-05,0.481389956050175,1.67298496818836E-05,0.491613405176211,1.709569537627E-05,0.445908562168496,1.36726752688805E-05,0.365075996261464,2.08497333323439E-05,0.597454611551152
1.50909613047279E-05,0.489723158920026,1.69038672763298E-05,0.496726982631657,1.73488037072318E-05,0.452510409560368,1.39278959161894E-05,0.371890678117828,2.1323590908079E-05,0.611033125450042
1.53034380403363E-05,0.496618331206142,1.70940938909968E-05,0.502316868707733,1.75667753779988E-05,0.458195784279905,1.41811482808713E-05,0.378652804587126,2.1797448483814E-05,0.624611639348931
1.55176191347866E-05,0.503568812360862,1.73243843103606E-05,0.509084045902726,1.78105553920947E-05,0.464554320342839,1.43812570146225E-05,0.383995935605612,2.22713060595491E-05,0.638190153247821
1.56738520286164E-05,0.508638791983006,1.75219508587126E-05,0.514889618901352,1.80502931355488E-05,0.470807421496566,1.46092497522571E-05,0.390083601274215,2.27451636352842E-05,0.651768667146711
1.59101897880098E-05,0.516308288429595,1.77598870423315E-05,0.521881469974001,1.82626678161961E-05,0.476346809418739,1.47978768373505E-05,0.395120159201477,2.32190212110193E-05,0.665347181045601
1.612437088246E-05,0.523258769584316,1.79978232259504E-05,0.528873321046649,1.85384750515317E-05,0.483540714377696,1.50629388977947E-05,0.402197617993177,2.36928787867544E-05,0.678925694944491
1.63112822354418E-05,0.529324308841353,1.82357594095693E-05,0.535865172119298,1.88027773627327E-05,0.490434535364295,1.52492696531565E-05,0.407172861302194,2.41667363624895E-05,0.69250420884338
1.64592773948697E-05,0.534126962265239,1.84464766724401E-05,0.542057184187491,1.90764079907996E-05,0.497571667679833,1.55100671012421E-05,0.414136450088582,2.46405939382246E-05,0.70608272274227
1.67453256204816E-05,0.543409634046146,1.8617130130614E-05,0.547071905136769,1.9274168308357E-05,0.502729867853335,1.57846425277172E-05,0.421467926584439,2.51144515139597E-05,0.71966123664116
1.69140571458178E-05,0.548885212038061,1.88079684064215E-05,0.552679765123058,1.94843663817357E-05,0.50821248313209,1.60500326352659E-05,0.428554144607317,2.55883090896948E-05,0.73323975054005
1.7112899010692E-05,0.555337913375335,1.90113457356073E-05,0.558656090268702,1.97486686929367E-05,0.515106304118689,1.62780253729005E-05,0.43464181027592,2.60621666654298E-05,0.74681826443894
1.73577585642943E-05,0.563283954164949,1.91979023834319E-05,0.564138132883504,2.00409559547354E-05,0.522730059092104,1.6487975519787E-05,0.440247718229742,2.65360242411649E-05,0.760396778337829
1.75585888478173E-05,0.569801182515596,1.94028088654688E-05,0.570159392804679,2.03142756389067E-05,0.529859081030011,1.67510692976042E-05,0.447272621634375,0.0000270098818169,0.773975292236719
1.77881091718436E-05,0.577249443487764,1.96701047838273E-05,0.578013991567526,2.05879062669736E-05,0.536996213345549,1.69610194444907E-05,0.452878529588197,2.74837393926351E-05,0.787553806135609
1.80613747061422E-05,0.586117298754132,1.98676713321793E-05,0.583819564566152,2.08518976342791E-05,0.543881923954517,1.71575196600923E-05,0.458125309063727,2.79575969683702E-05,0.801132320034499
1.82587962719817E-05,0.592523909367568,2.01294623002741E-05,0.591512398137086,2.11367222425851E-05,0.551311029864781,1.74094598363562E-05,0.464852398608313,2.84314545441053E-05,0.814710833933389
1.85070645432675E-05,0.600580567894393,2.03710684507355E-05,0.59861209267101,2.14737854253402E-05,0.560102679217103,1.76492622697531E-05,0.471255396599319,2.89053121198404E-05,0.828289347832278
1.86632974370973E-05,0.605650547516537,2.05888198167209E-05,0.605010804706647,2.18142689909462E-05,0.568983542723369,1.79576265479927E-05,0.479489073906494,2.93791696955755E-05,0.841867861731168
1.88860003257564E-05,0.612877573014284,2.0771706497703E-05,0.610385003860174,2.20322406617131E-05,0.574668917442905,1.82266251736911E-05,0.486671643472328,2.98530272713105E-05,0.855446375630058
1.91206337263081E-05,0.620491760592267,2.09986327807946E-05,0.617053324548998,2.22666923589431E-05,0.580784142176901,1.85428625824389E-05,0.495115542327772,3.03268848470456E-05,0.869024889528948
1.92822637564701E-05,0.625736884964994,2.12145491633588E-05,0.623398114853998,2.24526368084704E-05,0.585634148000414,1.88725499224717E-05,0.503918569661508,3.08007424227807E-05,0.882603403427838
