E1_C01_X,E1_C01_Y,E1_C02_X,E1_C02_Y,E1_C03_X,E1_C03_Y,E1_C04_X,E1_C04_Y,E1_C05_X,E1_C05_Y,MEAN_X,MEAN_Y
5.19979102362494E-05,1.7900004675549,6.26927161466762E-05,1.89731171734631,6.09274320193491E-05,1.83252861392501,5.99039828384537E-05,1.74793730844095,6.32171993575818E-05,1.85186206957288,0.000241126019525461,7.38993379600854
5.34802358237137E-05,1.84102873931763,6.47745495883477E-05,1.96031563909705,6.30549676984683E-05,1.89651900183261,6.14604051204137E-05,1.79335212804757,6.47523285759351E-05,1.8968315968574,0.000247642938972096,7.5896617364412
5.51127358811745E-05,1.89722668752096,6.77393166457068E-05,2.0500403730513,6.46310838737825E-05,1.94392421643637,6.30792670438223E-05,1.84058887290261,6.70025328514006E-05,1.96274827758465,0.00025415985841873,7.78938967687386
5.68604560061324E-05,1.95739102540716,6.92246531296228E-05,2.09499210729332,6.60921981204957E-05,1.98787049115323,6.57230528378367E-05,1.91773185415222,6.90990720614015E-05,2.0241635487423,0.000260676777865364,7.98911761730653
5.8750582956087E-05,2.02245764267668,7.10481029881081E-05,2.15017639336578,6.7576902506409E-05,2.03252629200074,6.72185583964324E-05,1.96136918571162,7.11834397810686E-05,2.08522227260731,0.000267193697311998,8.18884555773919
6.01604105235531E-05,2.07099020857154,7.2639745860535E-05,2.198345349144,6.92562255407241E-05,2.08303568342608,6.91602789536722E-05,2.01802661721695,7.34442941105761E-05,2.15145093221563,0.000273710616758632,8.38857349817185
6.15313998660201E-05,2.11818578918005,7.49888217511019E-05,2.26943700836771,7.11552317463413E-05,2.14015253694305,7.10624036407252E-05,2.07352868149158,7.54830187414913E-05,2.21117260373322,0.000280227536205266,8.58830143860451
6.32506386259788E-05,2.17736967118958,7.66956298777489E-05,2.32109128747683,7.37044411636642E-05,2.21682570443595,7.2670605137545E-05,2.12045436593835,7.76023794958682E-05,2.27325640106458,0.0002867444556519,8.78802937903718
6.48507734959402E-05,2.23245346498761,7.8296131615885E-05,2.36952834504975,7.57965916339831E-05,2.27975180314758,7.4115854399365E-05,2.16262526985879,7.93565955402303E-05,2.32464377961666,0.000293261375098534,8.98775731946984
6.62877878209057E-05,2.28192192058293,7.97297913831637E-05,2.41291615215611,7.71839866956956E-05,2.32148080870618,7.61382896150627E-05,2.2216378730267,8.1174711908845E-05,2.37790303145511,0.000299778294545168,9.1874852599025
6.75357894508757E-05,2.3248837144513,8.15222352116667E-05,2.46716208194717,7.94972947210164E-05,2.39105871489261,7.78150224256674E-05,2.27056323152659,8.26961482005728E-05,2.42247144303541,0.000306295213991802,9.38721320033517
6.9100969918338E-05,2.3787642214916,8.32379022040229E-05,2.51908446285098,8.13771339385334E-05,2.44759907842844,7.96958262595429E-05,2.3254431749847,8.44199355191004E-05,2.47296745335588,0.000312812133438437,9.58694114076783
7.05017352333043E-05,2.42698482415298,8.47306210760299E-05,2.56425961525523,8.33749238520514E-05,2.50768707261749,8.14106320222503E-05,2.37547946351411,8.64814816943916E-05,2.53335765104718,0.000319329052885071,9.78666908120049
7.26015885982538E-05,2.49927116196884,8.66264183378074E-05,2.62163339931761,8.55452166584709E-05,2.57296347663689,8.31041169317803E-05,2.424893631227,8.84791275454302E-05,2.59187597545211,0.000325845972331705,9.98639702163316
7.43868523407109E-05,2.56072791896519,8.81043724336323E-05,2.66636171539739,8.83863540483965E-05,2.65841702999652,8.50001499464968E-05,2.48021794669691,8.99168848411129E-05,2.63399312439549,0.000332362891778339,10.1861249620658
7.65656767631585E-05,2.63573279352998,9.02260707709954E-05,2.73057209522422,9.04195291707149E-05,2.71956931338154,8.64225554370553E-05,2.52172229259964,9.15326501829279E-05,2.68132477749377,0.000338879811224973,10.3858529024985
7.7918541600626E-05,2.68230444767152,9.17438897625119E-05,2.77650686938008,9.21578275530306E-05,2.77185252013349,8.84358531442482E-05,2.58046827256046,9.33081663353742E-05,2.73333611380797,0.000345396730671607,10.5855808429311
7.98242038405801E-05,2.74790585905558,9.3558480755288E-05,2.83142305365785,9.40243973172474E-05,2.82799377522083,9.01597964154604E-05,2.63077118429696,9.5120196958822E-05,2.7864170920001,0.000351913650118241,10.7853087833638
8.20716424605261E-05,2.82527274095961,9.49611344925844E-05,2.87387250448282,9.65691835834703E-05,2.90453390656422,9.26710883361572E-05,2.70404812904385,9.67587838450129E-05,2.83441727127208,0.000358430569564875,10.9850367237965
8.47242932279623E-05,2.91658883601799,9.69780029190548E-05,2.93491034640588,9.87881310519903E-05,2.97127370822808,9.41711626490052E-05,2.7478187722068,9.84643139280397E-05,2.88437846065359,0.000364947489011509,11.1847646642291
8.60460874854305E-05,2.96209090193044,9.87674937923214E-05,2.98906690893205,0.000100698932327208,3.02874532481038,9.61737999296094E-05,2.80625369175935,0.000100020743254477,2.92997194570024,0.000371464408458143,11.3844926046618
8.73523464528991E-05,3.00705817372835,0.000101042745801978,3.05792438653339,0.000103341027917631,3.10821225144269,9.91511047840438E-05,2.89312842006753,0.000101587822634957,2.97587740962794,0.000377981327904777,11.5842205450945
8.87298088328659E-05,3.05447658521791,0.000102436540673565,3.10010573556368,0.000104808039699145,3.15233590769221,0.000102110134621469,2.97946990196154,0.000103232495266315,3.02405586254624,0.000384498247351412,11.7839484855271
9.01292795403323E-05,3.10265262170308,0.000104057713098356,3.14916836399085,0.00010651537602376,3.20368786139769,0.000104179780297774,3.03986005836604,0.000105321427294857,3.08524829164599,0.000391015166798046,11.9836764259598
9.20698961827856E-05,3.16945731984487,0.000105436743193761,3.19090287669666,0.000108517589088378,3.26390889173624,0.000105973777800855,3.09220708135685,0.000107492516883153,3.14884741497107,0.00039753208624468,12.1834043663925
9.34486531702524E-05,3.21692029751065,0.00010701066833477,3.23853562888552,0.000110587623803197,3.32616980970039,0.000108247494500431,3.15855182271956,0.000108994174503088,3.19283643720082,0.000404049005691314,12.3831323068251
