E1_Z05_X,E1_Z05_Y,E1_Z06_X,E1_Z06_Y,E1_Z07_X,E1_Z07_Y,E1_Z08_X,E1_Z08_Y,E1_Z09_X,E1_Z09_Y,MEAN_X,MEAN_Y
3.44430709230876E-05,1.16934863938904,5.58584127037507E-05,1.6581415354491,0.000106712696050288,3.43034382030595,0.000120312868297542,3.60646677875517,0.000104356297322118,2.86787707514576,0.000505749355864039,15.4999875102791
3.60030339396398E-05,1.22230967282813,5.72525760120436E-05,1.69952688774939,0.000108258817484308,3.48004482405657,0.000121803771505916,3.65115769974665,0.000102645126138198,2.82085136863889,0.000511187520980856,15.6666540426477
3.43829455586301E-05,1.16730737212579,5.86691865378725E-05,1.74157857949525,0.000109586322758607,3.52271827981827,0.000123514279506034,3.70243143600206,0.000101189760874911,2.78085561580319,0.000516625686097674,15.8333205750163
3.29639933428168E-05,1.11913368149801,6.01352579438731E-05,1.78509850379236,0.000110980058225151,3.56752074495838,0.000125148593899074,3.75142121280601,0.000102669861060912,2.82153112366689,0.000522063851214491,15.9999871073849
3.43293648858236E-05,1.16548829835668,6.14717533960516E-05,1.82477200172989,0.000112211880491434,3.60711841285787,0.000123544752543243,3.70334488772087,0.000104421930621127,2.86968078262126,0.000527502016331309,16.1666536397535
3.5654595310555E-05,1.21048011681262,6.28764274612296E-05,1.86646936294194,0.000113845948392618,3.65964650871017,0.000125769528090522,3.77003417220876,0.000106554023849354,2.92827409656792,0.000532940181448127,16.3333201721221
3.71284999726124E-05,1.26051945317187,6.426338046613E-05,1.90764067937977,0.00011518248843331,3.70261039247355,0.000127437537474076,3.82003398115322,0.000108305473082285,2.97640670794163,0.000538378346564944,16.4999867044907
3.5351189242568E-05,1.20017942458993,6.58056206331209E-05,1.95342165228511,0.000116470151130281,3.74400308461499,0.000129374870658225,3.87810696924569,0.000109732552276185,3.01562511458911,0.000561044626249049,17.0216688874994
3.41503417736262E-05,1.1594104305285,6.73480012930878E-05,1.99920679568559,0.000117847716049393,3.78828573777856,0.000130949295123287,3.92530150137889,0.000111204527031061,3.0560773226784,0.000612165668684391,18.242436178906
3.55461976990363E-05,1.20679999781784,6.8804946646366E-05,2.04245581563112,0.000119059586350259,3.82724203774525,0.000132640599320352,3.97599958950358,0.000112844271096196,3.10114009832471,0.000692539946965651,20.3597439898202
3.71064731352171E-05,1.25977163796121,7.01355951848163E-05,2.08195574955138,0.000120402431956209,3.87040861769769,0.000134057596889859,4.01847513457467,0.000114645348909125,3.15063658203292,0.000754897824736479,21.9248929503988
3.82939575607298E-05,1.30008695422234,7.15110658369956E-05,2.12278621552373,0.000121632848488672,3.90996109743776,0.000135363456154146,4.05761922714782,0.000116284635384684,3.19568678238969,0.000783100147868833,22.4432572454812
3.66673249889126E-05,1.24486247702959,7.32149759721716E-05,2.17336631673055,0.000120362964714906,3.86913991947976,0.000137520479765681,4.12227759749565,0.000117757243630896,3.23615639982874,0.000805294207576383,22.7774828818326
3.52719897798944E-05,1.19749058815823,7.45412222917323E-05,2.21273557200036,0.000121846858655243,3.91684058300555,0.000139250202331472,4.17412730449923,0.00011615821285522,3.19221249014921,0.000850902273490952,23.8292908533198
3.64896305110153E-05,1.23882971658206,7.58678337816109E-05,2.25211566725007,0.000123281377453385,3.96295405287797,0.000137845466621068,4.13201931767963,0.000117633749501241,3.2327625846739,0.000910321411018257,25.3043745739877
3.77792414579428E-05,1.28261224716705,7.73965115205388E-05,2.29749404322857,0.00012473420689685,4.00965612946124,0.000139900800428468,4.19362946130372,0.000119476651009018,3.28340845005558,0.000939608479244565,25.8559836675325
3.90174228634003E-05,1.32464873529035,7.89525816100857E-05,2.34368555356081,0.000126359198705462,4.06189246885703,0.000142443773553345,4.26985695237689,0.000121573807947345,3.3410416591742,0.000976535508578143,26.6417389846337
3.75497021041643E-05,1.27481934357763,8.02783468945729E-05,2.38304052943747,0.000127696930310274,4.10489465616593,0.000143905742288066,4.31368054122451,0.000123434622265844,3.39217979709274,0.00100400411016556,27.1376164991583
3.91484647488421E-05,1.32909763158031,8.20186486044484E-05,2.43470090447645,0.000128992451607699,4.14653996774727,0.000145305448350697,4.35563776065027,0.000121796873766938,3.34717186278122,0.00102778927992673,27.5206057882413
4.03460333953165E-05,1.36975530901148,8.34139299115905E-05,2.47611944426343,0.000130312215865634,4.18896458388043,0.000147119171904375,4.41000545909136,0.000120368277889905,3.30791177526831,0.00104497743669365,27.7014126764365
3.85869372058789E-05,1.31003366745789,8.47681747301896E-05,2.5163198272352,0.000131833649148482,4.23787197215751,0.00014499916200873,4.34645660211982,0.000122363821764908,3.36275249574638,0.00106601646178774,28.0002393115338
